id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC-0001-1,1,Copia de Cédula,Sí,Sí,2025-01-26,No,
DOC-0001-2,1,Denuncia Fiscalía,Sí,Sí,2025-01-27,No,
DOC-0001-3,1,Informe Policial,Sí,Sí,2025-01-26,Sí,Firma del taller no coincide con la registrada.
DOC-0001-4,1,Factura de Taller/Clínica,No,No,,No,
DOC-0001-5,1,Formulario de Reclamo,Sí,Sí,2025-01-26,No,
DOC-0002-1,2,Copia de Cédula,Sí,Sí,2025-01-21,No,
DOC-0002-2,2,Denuncia Fiscalía,Sí,Sí,2025-01-22,No,
DOC-0002-3,2,Informe Policial,Sí,Sí,2025-01-21,No,
DOC-0002-4,2,Factura de Taller/Clínica,Sí,Sí,2025-01-20,No,
DOC-0002-5,2,Formulario de Reclamo,Sí,Sí,2025-01-21,No,
DOC-0003-1,3,Copia de Cédula,Sí,Sí,2025-02-22,No,
DOC-0003-2,3,Denuncia Fiscalía,Sí,Sí,2025-02-21,No,
DOC-0003-3,3,Informe Policial,Sí,Sí,2025-02-21,No,
DOC-0003-4,3,Factura de Taller/Clínica,Sí,Sí,2025-02-24,No,
DOC-0003-5,3,Formulario de Reclamo,Sí,Sí,2025-02-20,No,
DOC-0004-1,4,Copia de Cédula,Sí,Sí,2025-01-12,No,
DOC-0004-2,4,Denuncia Fiscalía,Sí,Sí,2025-01-08,No,
DOC-0004-3,4,Informe Policial,Sí,Sí,2025-01-08,No,
DOC-0004-4,4,Factura de Taller/Clínica,Sí,Sí,2025-01-09,No,
DOC-0004-5,4,Formulario de Reclamo,Sí,Sí,2025-01-09,No,
DOC-0005-1,5,Copia de Cédula,Sí,Sí,2025-02-18,No,
DOC-0005-2,5,Denuncia Fiscalía,Sí,Sí,2025-02-17,No,
DOC-0005-3,5,Informe Policial,Sí,Sí,2025-02-17,No,
DOC-0005-4,5,Factura de Taller/Clínica,Sí,Sí,2025-02-19,No,
DOC-0005-5,5,Formulario de Reclamo,Sí,Sí,2025-02-16,No,
DOC-0006-1,6,Copia de Cédula,Sí,Sí,2025-01-04,No,
DOC-0006-2,6,Denuncia Fiscalía,Sí,Sí,2024-12-31,No,
DOC-0006-3,6,Informe Policial,Sí,Sí,2025-01-03,No,
DOC-0006-4,6,Factura de Taller/Clínica,Sí,Sí,2025-01-01,No,
DOC-0006-5,6,Formulario de Reclamo,Sí,Sí,2025-01-03,No,
DOC-0007-1,7,Copia de Cédula,Sí,Sí,2025-01-15,No,
DOC-0007-2,7,Denuncia Fiscalía,Sí,Sí,2025-01-15,No,
DOC-0007-3,7,Informe Policial,Sí,Sí,2025-01-12,No,
DOC-0007-4,7,Factura de Taller/Clínica,Sí,Sí,2025-01-14,No,
DOC-0007-5,7,Formulario de Reclamo,Sí,Sí,2025-01-14,No,
DOC-0008-1,8,Copia de Cédula,Sí,Sí,2025-02-26,No,
DOC-0008-2,8,Denuncia Fiscalía,Sí,Sí,2025-02-25,No,
DOC-0008-3,8,Informe Policial,Sí,Sí,2025-03-01,No,
DOC-0008-4,8,Factura de Taller/Clínica,Sí,Sí,2025-03-01,No,
DOC-0008-5,8,Formulario de Reclamo,Sí,Sí,2025-02-27,No,
DOC-0009-1,9,Copia de Cédula,Sí,Sí,2025-01-28,No,
DOC-0009-2,9,Denuncia Fiscalía,Sí,Sí,2025-01-28,No,
DOC-0009-3,9,Informe Policial,Sí,Sí,2025-01-28,No,
DOC-0009-4,9,Factura de Taller/Clínica,Sí,Sí,2025-01-31,No,
DOC-0009-5,9,Formulario de Reclamo,Sí,Sí,2025-01-30,No,
DOC-0010-1,10,Copia de Cédula,Sí,Sí,2025-01-07,No,
DOC-0010-2,10,Denuncia Fiscalía,Sí,Sí,2025-01-04,No,
DOC-0010-3,10,Informe Policial,Sí,Sí,2025-01-03,No,
DOC-0010-4,10,Factura de Taller/Clínica,Sí,Sí,2025-01-05,No,
DOC-0010-5,10,Formulario de Reclamo,Sí,Sí,2025-01-07,No,
DOC-0011-1,11,Copia de Cédula,Sí,Sí,2025-01-06,No,
DOC-0011-2,11,Denuncia Fiscalía,Sí,Sí,2025-01-08,No,
DOC-0011-3,11,Informe Policial,Sí,Sí,2025-01-07,No,
