id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL-521585,ASEG-100378,Salud,2024-09-26,2025-09-26,1406.91,1627.65,1000.0,Banca Seguros,Azogues,Expirada
POL-342868,ASEG-100118,Vehículos,2024-01-20,2025-01-19,1197.22,81098.45,2000.0,Banca Seguros,Azogues,Expirada
POL-687698,ASEG-100353,Vehículos,2024-11-30,2025-11-30,1413.14,41087.84,2000.0,Web Aseguradora,Loja,Expirada
POL-227811,ASEG-100413,Vehículos,2025-01-06,2026-01-06,1415.74,87939.21,2000.0,Agente Directo,Loja,Expirada
POL-367455,ASEG-100466,Vehículos,2024-06-18,2025-06-18,1583.91,43070.99,1000.0,Broker,Zamora,Expirada
POL-104594,ASEG-100043,Vehículos,2024-08-12,2025-08-12,1351.1,33277.36,1000.0,Agente Directo,Azogues,Expirada
POL-413978,ASEG-100388,Vehículos,2024-11-27,2025-11-27,1333.35,30324.72,1000.0,Web Aseguradora,Loja,Expirada
POL-429027,ASEG-100329,Vehículos,2024-08-17,2025-08-17,1137.03,35614.09,1000.0,Web Aseguradora,Loja,Expirada
POL-485665,ASEG-100266,Vehículos,2025-01-01,2026-01-01,1442.99,15594.68,500.0,Web Aseguradora,Azogues,Expirada
POL-636550,ASEG-100293,Vehículos,2024-08-20,2025-08-20,1315.68,12099.57,500.0,Banca Seguros,Machala,Expirada
POL-543610,ASEG-100298,Vehículos,2024-05-01,2025-05-01,1253.12,17893.83,500.0,Banca Seguros,Azogues,Expirada
POL-214618,ASEG-100352,Vehículos,2024-11-06,2025-11-06,1137.16,84789.78,2000.0,Web Aseguradora,Cuenca,Expirada
POL-842643,ASEG-100189,Salud,2024-11-05,2025-11-05,1215.36,2157.87,500.0,Broker,Loja,Expirada
POL-626808,ASEG-100110,Vehículos,2024-12-20,2025-12-20,936.61,45010.5,1000.0,Broker,Azogues,Expirada
POL-644081,ASEG-100076,Vehículos,2025-01-10,2026-01-10,1301.13,73561.17,2000.0,Broker,Cuenca,Expirada
POL-892874,ASEG-100061,Vehículos,2024-01-29,2025-01-28,1131.4,62920.66,2000.0,Agente Directo,Azogues,Expirada
POL-558938,ASEG-100347,Vehículos,2024-11-04,2025-11-04,1199.44,21556.34,1000.0,Broker,Zamora,Expirada
POL-275265,ASEG-100385,Vehículos,2024-11-18,2025-11-18,708.64,20126.46,500.0,Broker,Azogues,Expirada
POL-921202,ASEG-100228,Vehículos,2024-10-21,2025-10-21,1374.22,19310.95,500.0,Broker,Zamora,Expirada
POL-143972,ASEG-100128,Vehículos,2024-05-19,2025-05-19,1475.73,92696.76,2000.0,Broker,Machala,Expirada
POL-183430,ASEG-100385,Hogar,2024-07-03,2025-07-03,1187.96,16097.11,1000.0,Broker,Azogues,Expirada
POL-431876,ASEG-100344,Vehículos,2024-07-06,2025-07-06,875.15,89648.01,2000.0,Web Aseguradora,Loja,Expirada
POL-285496,ASEG-100189,Vehículos,2024-06-24,2025-06-24,972.18,99055.81,2000.0,Banca Seguros,Loja,Expirada
POL-115399,ASEG-100289,Vehículos,2024-01-17,2025-01-16,1268.79,96273.42,2000.0,Agente Directo,Cuenca,Expirada
POL-736882,ASEG-100452,Salud,2024-05-10,2025-05-10,883.31,1773.78,1000.0,Agente Directo,Cuenca,Expirada
POL-699044,ASEG-100084,Vehículos,2025-01-06,2026-01-06,1266.92,86544.97,2000.0,Banca Seguros,Cuenca,Expirada
POL-863236,ASEG-100470,Vehículos,2024-06-03,2025-06-03,1322.1,87248.49,2000.0,Agente Directo,Loja,Expirada
POL-608513,ASEG-100317,Vehículos,2024-09-13,2025-09-13,848.07,12788.85,500.0,Broker,Cuenca,Expirada
POL-914088,ASEG-100240,Vehículos,2024-07-25,2025-07-25,1291.7,60628.97,2000.0,Broker,Cuenca,Expirada
POL-596785,ASEG-100355,Vehículos,2024-08-10,2025-08-10,1104.5,67992.21,2000.0,Broker,Loja,Expirada
POL-908616,ASEG-100204,Vehículos,2024-12-26,2025-12-26,954.16,25973.69,1000.0,Web Aseguradora,Loja,Expirada
POL-666333,ASEG-100433,Vehículos,2024-12-21,2025-12-21,1337.28,98626.11,2000.0,Banca Seguros,Azogues,Expirada
