id_siniestro,id_poliza,id_asegurado,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,etiqueta_fraude_simulada,placa_vehiculo,id_proveedor
1,POL-521585,ASEG-100378,Salud,Atención médica,2025-01-22,2025-01-25,955.01,874.68,0.0,Reserva,Azogues,"El conductor declara haber perdido el control de su Saab 92x a una velocidad aproximada de 10 km/h al esquivar un perro en la calle Calle Bolívar en Azogues, resultando en una volcadura de campana y daños severos en el techo y laterales. El peritaje técnico preliminar indica que el daño es inconsistente con la velocidad reportada.",No,Clínica Hospital Municipal Loja,118,247,3,1,1,,PROV-108
2,POL-342868,ASEG-100118,Vehículos,Robo,2025-01-18,2025-01-18,5070.0,3921.08,0.0,Cierre Sin Consecuencia,Azogues,Se reporta choque frontal severo de Mercedes E400 contra un objeto fijo en la calle Av. 24 de Mayo de Azogues. El conductor indica que se desvió para evitar colisión con otro carro que huyó. No hay registro policial del incidente.,Sí,Hospital Santa Inés Cuenca,364,1,0,2,1,UES-4455,PROV-107
3,POL-687698,ASEG-100353,Vehículos,Choque,2025-02-19,2025-02-22,34650.0,27188.41,27188.41,Pago Total,Loja,El cliente reporta el robo parcial de los accesorios de su Dodge RAM (retrovisores y radio) mientras se encontraba estacionado temporalmente frente a un local comercial en la calle Av. Orillas del Zamora de Loja.,Sí,Dr. Luis Silva (Perito),81,284,3,0,0,LCK-9320,PROV-111
4,POL-227811,ASEG-100413,Vehículos,Choque,2025-01-07,2025-01-08,63400.0,60149.64,0.0,Reserva,Loja,Se reporta choque frontal severo de Chevrolet Tahoe contra un objeto fijo en la calle Av. Orillas del Zamora de Loja. El conductor indica que se desvió para evitar colisión con otro carro que huyó. No hay registro policial del incidente.,Sí,Multiservicios Loja Car,1,364,1,3,1,LWW-6109,PROV-102
5,POL-367455,ASEG-100466,Vehículos,Robo,2025-02-14,2025-02-16,6500.0,5865.55,4064.95,Pago Parcial,Zamora,El asegurado reporta un choque por alcance en la calle Av. del Ejército de la ciudad de Zamora. Su Accura RSX (2009) fue impactado en la parte posterior por otro vehículo que no guardó la distancia de seguridad. Daños leves en el parachoques trasero y cajuela.,Sí,Tecnicentro El Oro,241,124,2,0,0,VQI-1844,PROV-103
6,POL-104594,ASEG-100043,Vehículos,Choque,2024-12-30,2025-01-02,64100.0,50018.66,0.0,Cierre Sin Consecuencia,Azogues,Se reporta choque frontal severo de Saab 95 contra un objeto fijo en la calle Av. Aurelio Jaramillo de Azogues. El conductor indica que se desvió para evitar colisión con otro carro que huyó. No hay registro policial del incidente.,Sí,Dra. María Cabrera (Perito),140,225,3,0,1,UXX-9569,PROV-113
7,POL-413978,ASEG-100388,Vehículos,Choque,2025-01-10,2025-01-11,78650.0,74367.24,74367.24,Liquidado,Loja,El cliente reporta el robo parcial de los accesorios de su Nissan Pathfinder (retrovisores y radio) mientras se encontraba estacionado temporalmente frente a un local comercial en la calle Av. Orillas del Zamora de Loja.,Sí,Dr. Luis Silva (Perito),44,321,1,0,0,LKX-7873,PROV-111
8,POL-429027,ASEG-100329,Vehículos,Choque,2025-02-24,2025-02-27,51590.0,47851.53,47851.53,Liquidado,Loja,Se reporta la rotura del parabrisas delantero del Audi A5 (2015) por impacto de una piedra lanzada por un camión de carga mientras circulaba por la vía de acceso a Loja. Sin terceras personas lesionadas.,Sí,Clínica San Agustín,191,174,3,2,0,LWC-5378,PROV-109
9,POL-485665,ASEG-100266,Vehículos,Choque,2025-01-27,2025-01-28,27700.0,20929.52,20929.52,Liquidado,Azogues,El cliente reporta el robo parcial de los accesorios de su Toyota Camry (retrovisores y radio) mientras se encontraba estacionado temporalmente frente a un local comercial en la calle Av. Aurelio Jaramillo de Azogues.,Sí,Dra. María Cabrera (Perito),26,339,1,3,0,UGU-7910,PROV-113
10,POL-636550,ASEG-100293,Vehículos,Choque,2025-01-02,2025-01-04,42300.0,38538.58,38538.58,Liquidado,Machala,El cliente reporta el robo parcial de los accesorios de su Saab 92x (retrovisores y radio) mientras se encontraba estacionado temporalmente frente a un local comercial en la calle Av. 25 de Junio de Machala.,Sí,Clínica La Cigüeña Machala,135,230,2,2,0,OVG-2685,PROV-108
11,POL-543610,ASEG-100298,Vehículos,Choque,2025-01-03,2025-01-05,87010.0,66962.68,66962.68,Liquidado,Azogues,Se reporta la rotura del parabrisas delantero del Ford F150 (2002) por impacto de una piedra lanzada por un camión de carga mientras circulaba por la vía de acceso a Azogues. Sin terceras personas lesionadas.,Sí,Dra. María Cabrera (Perito),247,118,2,1,0,UCB-8443,PROV-113
12,POL-214618,ASEG-100352,Vehículos,Choque,2025-02-12,2025-02-15,114920.0,89507.65,89507.65,Pago Total,Cuenca,Se reporta la rotura del parabrisas delantero del Audi A3 (2006) por impacto de una piedra lanzada por un camión de carga mientras circulaba por la vía de acceso a Cuenca. Sin terceras personas lesionadas.,Sí,Ing. Juan Castro (Perito),98,267,3,0,0,ADS-8124,PROV-112
13,POL-842643,ASEG-100189,Salud,Atención médica,2025-01-19,2025-01-20,1177.26,1116.28,577.78,Pago Parcial,Loja,El asegurado reporta un choque por alcance en la calle Av. Salvador Bustamante Celi de la ciudad de Loja. Su Saab 95 (2000) fue impactado en la parte posterior por otro vehículo que no guardó la distancia de seguridad. Daños leves en el parachoques trasero y cajuela.,Sí,Clínica Hospital Municipal Loja,75,290,1,1,0,,PROV-105
14,POL-626808,ASEG-100110,Vehículos,Daño material,2025-01-05,2025-01-08,7280.0,5638.11,2407.62,Pago Parcial,Azogues,El asegurado reporta un choque por alcance en la calle Calle 3 de Noviembre de la ciudad de Azogues. Su Toyota Highlander (2010) fue impactado en la parte posterior por otro vehículo que no guardó la distancia de seguridad. Daños leves en el parachoques trasero y cajuela.,Sí,Ing. Juan Castro (Perito),16,349,3,2,0,UMI-4338,PROV-112
15,POL-644081,ASEG-100076,Vehículos,Choque,2025-01-12,2025-01-15,46200.0,35073.37,0.0,Cierre Sin Consecuencia,Cuenca,Se reporta choque frontal severo de Dodge Neon contra un objeto fijo en la calle Calle Larga de Cuenca. El conductor indica que se desvió para evitar colisión con otro carro que huyó. No hay registro policial del incidente.,Sí,Perito Sospechoso,2,363,3,0,1,ASO-7751,PROV-117
16,POL-892874,ASEG-100061,Vehículos,Choque,2025-01-26,2025-01-27,63120.0,52947.95,0.0,Cierre Sin Consecuencia,Azogues,"El asegurado reporta que mientras circulaba por la vía principal en condiciones de lluvia, otro vehículo no identificado invadió su carril rozándolo lateralmente y provocando que se saliera de la calzada e impactara contra un poste de alumbrado público. El tercero se dio a la fuga de inmediato.",Sí,Autoservicio Cuenca,363,2,1,3,1,UMY-3105,PROV-105
17,POL-558938,ASEG-100347,Vehículos,Choque,2025-02-19,2025-02-21,52110.0,39365.68,39365.68,Pago Total,Zamora,"El conductor reporta que al transitar por Calle Diego de Vaca en Zamora, debido a trabajos en la vía y falta de señalización, cayó en un bache profundo provocando la rotura del neumático delantero derecho y daños en la suspensión del Nissan Maxima.",Sí,Talleres del Austro,107,258,2,2,0,VCD-8298,PROV-101
18,POL-275265,ASEG-100385,Vehículos,Choque,2025-01-03,2025-01-05,77880.0,63368.41,63368.41,Liquidado,Azogues,Se reporta la rotura del parabrisas delantero del Suburu Legacy (2015) por impacto de una piedra lanzada por un camión de carga mientras circulaba por la vía de acceso a Azogues. Sin terceras personas lesionadas.,Sí,Multiservicios Loja Car,46,319,2,1,0,UMK-2829,PROV-102
19,POL-921202,ASEG-100228,Vehículos,Choque,2025-01-16,2025-01-17,72930.0,60142.53,60142.53,Pago Total,Zamora,"Se reporta un choque lateral en la intersección de la calle Av. Héroes de Paquisha en Zamora. El conductor de un Accura TL indica que otro vehículo ignoró la señal de pare, impactando su puerta lateral izquierda. El choque provocó daños de consideración media.",Sí,Dr. Luis Silva (Perito),87,278,1,2,0,VYY-5089,PROV-111
20,POL-143972,ASEG-100128,Vehículos,Choque,2025-02-19,2025-02-20,60400.0,48698.24,48698.24,Pago Total,Machala,El cliente reporta el robo parcial de los accesorios de su Nissan Pathfinder (retrovisores y radio) mientras se encontraba estacionado temporalmente frente a un local comercial en la calle Calle Bolívar de Machala.,Sí,Clínica Hospital Municipal Loja,276,89,1,0,0,OBC-6879,PROV-106
21,POL-183430,ASEG-100385,Hogar,Incendio,2024-12-29,2024-12-30,13273.78,11175.99,11175.99,Liquidado,Azogues,"El conductor reporta que al transitar por Calle Bolívar en Azogues, debido a trabajos en la vía y falta de señalización, cayó en un bache profundo provocando la rotura del neumático delantero derecho y daños en la suspensión del Suburu Impreza.",Sí,Otro,179,186,1,1,0,,PROV-105
22,POL-431876,ASEG-100344,Vehículos,Choque,2025-02-07,2025-02-10,37840.0,32452.58,32452.58,Liquidado,Loja,El asegurado reporta un choque por alcance en la calle Av. Manuel Agustín Aguirre de la ciudad de Loja. Su Accura RSX (1996) fue impactado en la parte posterior por otro vehículo que no guardó la distancia de seguridad. Daños leves en el parachoques trasero y cajuela.,Sí,Hospital Santa Inés Cuenca,216,149,3,1,0,LAV-6638,PROV-107
23,POL-285496,ASEG-100189,Vehículos,Choque,2025-01-08,2025-01-08,71520.0,56379.38,0.0,Cierre Sin Consecuencia,Loja,Se reporta choque frontal severo de Suburu Forrestor contra un objeto fijo en la calle Av. Manuel Agustín Aguirre de Loja. El conductor indica que se desvió para evitar colisión con otro carro que huyó. No hay registro policial del incidente.,Sí,Enderezada y Pintura Lojanita,198,167,0,1,1,LZA-4760,PROV-104
